human,gender,cause,date_of_birth,date_of_death,country,occupation,religion
Murtala Mohammed,male,homicide,1938-11-08T00:00:00Z,1976-02-13T00:00:00Z,Nigeria,military personnel,Islam
Jöns Gerekesson,male,homicide,1378-01-01T00:00:00Z,1433-07-20T00:00:00Z,Iceland,priest,Catholic Church
Avijit Roy,male,homicide,1972-09-12T00:00:00Z,2015-02-26T00:00:00Z,Bangladesh,writer,atheism
"B. F. O'Neal, Jr.",male,accident,1922-06-23T00:00:00Z,2004-04-29T00:00:00Z,United States of America,businessperson,Episcopal Church
Ehsan Jafri,male,homicide,1929-01-01T00:00:00Z,2002-02-28T00:00:00Z,India,lawyer,Shia Islam
James Miller,male,homicide,1944-01-01T00:00:00Z,1982-02-13T00:00:00Z,United States of America,teacher,Catholic Church
Giuseppe Diana,male,homicide,1958-07-04T00:00:00Z,1994-03-19T00:00:00Z,Italy,writer,Catholic Church
Marcus Whitman,male,homicide,1802-09-04T00:00:00Z,1847-11-29T00:00:00Z,United States of America,physician,Presbyterianism
Ahmet Ertegun,male,accident,1923-07-31T00:00:00Z,2006-12-14T00:00:00Z,Turkey,composer,Islam
Ahmet Ertegun,male,accident,1923-07-31T00:00:00Z,2006-12-14T00:00:00Z,United States of America,composer,Islam
Alejandro Armendáriz,male,accident,1923-06-05T00:00:00Z,2005-08-07T00:00:00Z,Argentina,physician,Catholicism
Rafael Eitan,male,accident,1929-01-11T00:00:00Z,2004-11-23T00:00:00Z,Israel,military personnel,Judaism
John Roberts,male,homicide,1577-01-01T00:00:00Z,1610-12-10T00:00:00Z,Wales,priest,Catholic Church
James Foley,male,homicide,1973-10-18T00:00:00Z,2014-08-19T00:00:00Z,United States of America,teacher,Catholic Church
Isaac Jogues,male,homicide,1607-01-10T00:00:00Z,1646-10-18T00:00:00Z,France,priest,Catholic Church
Carlos Pizarro Leongómez,male,homicide,1952-06-06T00:00:00Z,1990-04-26T00:00:00Z,Colombia,lawyer,Catholic Church
Saint Engelbert,male,homicide,1185-01-01T00:00:00Z,1225-11-14T00:00:00Z,Germany,priest,Catholic Church
Turan Dursun,male,homicide,1934-01-01T00:00:00Z,1990-09-04T00:00:00Z,Turkey,writer,atheism
Rashid Rehman,male,homicide,1958-10-13T00:00:00Z,2014-05-07T00:00:00Z,Pakistan,lawyer,Islam
Narte Velikonja,male,homicide,1891-06-08T00:00:00Z,1945-06-25T00:00:00Z,Kingdom of Yugoslavia,writer,Catholic Church
Manuel Cepeda Vargas,male,homicide,1930-04-13T00:00:00Z,1994-08-09T00:00:00Z,Colombia,lawyer,Catholicism
Ezechiele Ramin,male,homicide,1953-02-09T00:00:00Z,1985-07-24T00:00:00Z,Italy,priest,Catholic Church
Maciej Płażyński,male,accident,1958-02-10T00:00:00Z,2010-04-10T00:00:00Z,Poland,lawyer,Catholicism
Mikhail Lermontov,male,homicide,1814-10-15T00:00:00Z,1841-07-27T00:00:00Z,Russian Empire,writer,Eastern Orthodox Church
"Infante Alfonso Carlos, Duke of San Jaime",male,accident,1849-09-12T00:00:00Z,1936-09-29T00:00:00Z,Spain,writer,Catholic Church
Isaac Jogues,male,homicide,1607-01-15T00:00:00Z,1646-10-18T00:00:00Z,France,priest,Catholic Church
Haim Arlosoroff,male,homicide,1899-02-23T00:00:00Z,1933-06-16T00:00:00Z,Palestine,writer,Judaism
Paulos Faraj Rahho,male,homicide,1942-11-20T00:00:00Z,2008-03-13T00:00:00Z,Iraq,priest,Catholic Church
Carlos Prats,male,homicide,1915-02-24T00:00:00Z,1974-09-30T00:00:00Z,Chile,military personnel,Catholicism
Kristo Negovani,male,homicide,1875-01-01T00:00:00Z,1905-02-12T00:00:00Z,Albania,writer,Orthodox Christianity
Gus Winkler,male,homicide,1901-03-28T00:00:00Z,1933-10-09T00:00:00Z,United States of America,gangster,Catholic Church
Hamza Hakimzade Niyazi,male,homicide,1889-03-06T00:00:00Z,1929-03-18T00:00:00Z,Russian Empire,composer,atheism
Hamza Hakimzade Niyazi,male,homicide,1889-03-06T00:00:00Z,1929-03-18T00:00:00Z,Russian Empire,writer,atheism
Muammar al-Gaddafi,male,homicide,1942-06-19T00:00:00Z,2011-10-20T00:00:00Z,Libya,writer,Sunni Islam
Anthim the Iberian,male,homicide,1650-01-01T00:00:00Z,1716-01-01T00:00:00Z,Georgia,writer,Orthodox Christianity
Italo Svevo,male,accident,1861-12-19T00:00:00Z,1928-09-13T00:00:00Z,Kingdom of Italy,businessperson,atheism
Anthim the Iberian,male,homicide,1650-01-01T00:00:00Z,1716-01-01T00:00:00Z,Georgia,priest,Orthodox Christianity
Haim Arlosoroff,male,homicide,1899-02-23T00:00:00Z,1933-06-16T00:00:00Z,Russian Empire,writer,Judaism
Ibrahim al-Hamdi,male,homicide,1943-01-01T00:00:00Z,1977-10-11T00:00:00Z,Mutawakkilite Kingdom of Yemen,military personnel,Islam
Studs Terkel,male,accident,1912-05-16T00:00:00Z,2008-10-31T00:00:00Z,United States of America,writer,atheism
Filip Terčelj,male,homicide,1892-02-02T00:00:00Z,1946-01-07T00:00:00Z,Austria-Hungary,writer,Catholic Church
José Calvo Sotelo,male,homicide,1893-05-06T00:00:00Z,1936-07-13T00:00:00Z,Spain,lawyer,Catholicism
Johnson Aguiyi-Ironsi,male,homicide,1924-03-03T00:00:00Z,1966-07-29T00:00:00Z,Nigeria,military personnel,Islam
Avijit Roy,male,homicide,1972-09-12T00:00:00Z,2015-02-26T00:00:00Z,United States of America,writer,atheism
Mohammad-Javad Bahonar,male,homicide,1933-09-05T00:00:00Z,1981-08-30T00:00:00Z,Iran,teacher,Shia Islam
François Marty,male,accident,1904-05-16T00:00:00Z,1994-02-16T00:00:00Z,France,writer,Catholic Church
Gulshan Kumar,male,homicide,1956-05-05T00:00:00Z,1997-08-12T00:00:00Z,India,businessperson,Hinduism
Gustav Ritter von Kahr,male,homicide,1862-11-29T00:00:00Z,1934-06-30T00:00:00Z,Germany,lawyer,Protestantism
"Louis II of Lorraine, cardinal of Guise",male,homicide,1555-07-06T00:00:00Z,1588-12-24T00:00:00Z,France,priest,Catholicism
Mohammad Beheshti,male,homicide,1928-10-24T00:00:00Z,1981-06-28T00:00:00Z,Iran,writer,Islam
James Hannington,male,homicide,1847-09-03T00:00:00Z,1885-10-29T00:00:00Z,United Kingdom of Great Britain and Ireland,priest,Anglicanism
Simon Sudbury,male,homicide,1317-01-01T00:00:00Z,1381-06-14T00:00:00Z,United Kingdom of Great Britain and Ireland,priest,Catholic Church
Salvatore Colombo,male,homicide,1922-10-28T00:00:00Z,1989-07-09T00:00:00Z,Italy,priest,Catholic Church
Larry Rosebaugh,male,homicide,1935-05-16T00:00:00Z,2009-05-18T00:00:00Z,United States of America,teacher,Catholic Church
Pierre de La Coste,male,homicide,1501-01-01T00:00:00Z,1583-01-01T00:00:00Z,France,writer,Catholic Church
Nam Il,male,accident,1915-06-05T00:00:00Z,1976-03-07T00:00:00Z,Soviet Union,military personnel,atheism
John Patteson,male,homicide,1827-04-01T00:00:00Z,1871-09-20T00:00:00Z,United Kingdom of Great Britain and Ireland,priest,Anglicanism
Pier Paolo Pasolini,male,homicide,1922-03-05T00:00:00Z,1975-11-02T00:00:00Z,Italy,writer,atheism
Ahmed Wali Karzai,male,homicide,1961-01-01T00:00:00Z,2011-07-12T00:00:00Z,Afghanistan,businessperson,Sunni Islam
Sam Giancana,male,homicide,1908-06-15T00:00:00Z,1975-06-19T00:00:00Z,United States of America,gangster,Catholic Church
Lenny Bruce,male,accident,1925-10-13T00:00:00Z,1966-08-03T00:00:00Z,United States of America,writer,atheism
John Anthony Kaiser,male,homicide,1932-11-29T00:00:00Z,2000-08-23T00:00:00Z,United States of America,Catholic priest,Catholicism
Eric II of Denmark,male,homicide,1090-01-01T00:00:00Z,1137-09-18T00:00:00Z,Denmark,monarch,Christianity
Prince Aly Khan,male,accident,1911-06-13T00:00:00Z,1960-05-12T00:00:00Z,Pakistan,jockey,Islam
Daniil Sysoyev,male,homicide,1974-01-12T00:00:00Z,2009-11-20T00:00:00Z,Russia,missionary,Orthodox Christianity
Abr Ahasani Gunnauri,male,homicide,1897-01-01T00:00:00Z,1973-11-08T00:00:00Z,India,author,Islam
Walid Eido,male,homicide,1942-04-02T00:00:00Z,2007-06-13T00:00:00Z,Lebanon,judge,Sunni Islam
Pedro de Alvarado,male,accident,1486-01-01T00:00:00Z,1541-07-04T00:00:00Z,Spain,explorer,Catholicism
Leon Trotsky,male,homicide,1879-11-07T00:00:00Z,1940-08-21T00:00:00Z,Soviet Union,autobiographer,atheism
Malatesta Baglioni,male,homicide,1390-01-01T00:00:00Z,1437-01-01T00:00:00Z,Papal States,condottiero,Catholicism
Georges Darboy,male,homicide,1813-01-16T00:00:00Z,1871-05-24T00:00:00Z,France,Catholic priest,Catholic Church
Francesco Spoto,male,homicide,1924-07-08T00:00:00Z,1964-12-27T00:00:00Z,Italy,presbyter,Catholic Church
Marie-Dominique-Auguste Sibour,male,homicide,1792-08-04T00:00:00Z,1857-01-03T00:00:00Z,France,Catholic priest,Catholic Church
Grigori Rasputin,male,homicide,1869-01-21T00:00:00Z,1916-12-30T00:00:00Z,Russian Empire,mystic,Russian Orthodox Church
Mateo Correa Magallanes,male,homicide,1866-07-23T00:00:00Z,1927-02-06T00:00:00Z,Mexico,presbyter,Catholic Church
Viktor Turk,male,homicide,1891-10-13T00:00:00Z,1943-10-24T00:00:00Z,Austria-Hungary,Catholic priest,Catholic Church
Eloi de Bianya,male,homicide,1875-06-04T00:00:00Z,1936-07-28T00:00:00Z,Spain,friar,Catholic Church
Filip Terčelj,male,homicide,1892-02-02T00:00:00Z,1946-01-07T00:00:00Z,Austria-Hungary,opinion journalist,Catholic Church
Franc Kek,male,homicide,1895-08-20T00:00:00Z,1943-10-21T00:00:00Z,Austria-Hungary,Catholic priest,Catholic Church
Michał Kozal,male,homicide,1893-09-25T00:00:00Z,1943-01-26T00:00:00Z,Poland,Catholic priest,Catholic Church
Ernesto Barrera,male,homicide,t1066276429,1978-01-01T00:00:00Z,El Salvador,Catholic priest,Catholic Church
Pietro Pappagallo,male,homicide,1888-06-28T00:00:00Z,1944-03-24T00:00:00Z,Kingdom of Italy,presbyter,Catholic Church
Grigori Rasputin,male,homicide,1869-01-21T00:00:00Z,1916-12-30T00:00:00Z,Russian Empire,occultist,Russian Orthodox Church
Viktor Dorkin,male,homicide,1953-10-03T00:00:00Z,2006-03-31T00:00:00Z,Soviet Union,chemist,Russian Orthodox Church
Prudens of the Cross,male,homicide,1883-04-28T00:00:00Z,1936-07-31T00:00:00Z,Spain,presbyter,Catholic Church
Francisco Pizarro,male,homicide,1478-03-16T00:00:00Z,1541-07-06T00:00:00Z,Crown of Castile,explorer,Catholic Church
Jean de Brébeuf,male,homicide,1593-03-25T00:00:00Z,1649-03-16T00:00:00Z,France,presbyter,Catholic Church
Zbigniew Strzałkowski,male,homicide,1958-07-03T00:00:00Z,1991-08-09T00:00:00Z,Poland,Catholic priest,Catholic Church
Filip Terčelj,male,homicide,1892-02-02T00:00:00Z,1946-01-07T00:00:00Z,Kingdom of Yugoslavia,Catholic priest,Catholic Church
Giuseppe Diana,male,homicide,1958-07-04T00:00:00Z,1994-03-19T00:00:00Z,Italy,presbyter,Catholic Church
Robert Bradford,male,homicide,1941-06-08T00:00:00Z,1981-11-14T00:00:00Z,United Kingdom,association football player,Methodism
János Petrás Ince,male,homicide,1813-01-01T00:00:00Z,1886-09-06T00:00:00Z,Ottoman Empire,Catholic priest,Catholic Church
János Brenner,male,homicide,1931-12-27T00:00:00Z,1957-12-15T00:00:00Z,Hungary,monk,Catholic Church
Frans van der Lugt,male,homicide,1938-04-10T00:00:00Z,2014-04-07T00:00:00Z,Kingdom of the Netherlands,Catholic priest,Catholic Church
Keith O'Brien,male,accident,1938-03-17T00:00:00Z,2018-03-19T00:00:00Z,United Kingdom,Catholic priest,Catholic Church
William McKinley,male,homicide,1843-01-29T00:00:00Z,1901-09-14T00:00:00Z,United States of America,statesperson,Methodism
Lojze Grozde,male,homicide,1923-05-27T00:00:00Z,1943-01-01T00:00:00Z,Kingdom of Yugoslavia,writer,Catholic Church
Emin Pasha,male,homicide,1840-03-28T00:00:00Z,1892-10-23T00:00:00Z,Germany,explorer,Judaism
István Sándor,male,homicide,1914-10-26T00:00:00Z,1953-06-08T00:00:00Z,Hungary,monk,Catholic Church
Sean Devereux,male,homicide,1964-11-25T00:00:00Z,1993-01-02T00:00:00Z,United Kingdom,missionary,Catholic Church
Mariano of Saint Joseph,male,homicide,1857-12-30T00:00:00Z,1936-07-26T00:00:00Z,Spain,Catholic priest,Catholic Church
Louis Versiglia,male,homicide,1873-06-05T00:00:00Z,1930-02-25T00:00:00Z,Kingdom of Italy,Catholic priest,Catholic Church
Miroslav Bulešić,male,homicide,1920-05-13T00:00:00Z,1947-08-24T00:00:00Z,Croatia,Catholic priest,Catholic Church
Francesco Bonifacio,male,homicide,1912-09-07T00:00:00Z,1946-09-11T00:00:00Z,Italy,Catholic priest,Catholic Church
Mychal Judge,male,homicide,1933-05-11T00:00:00Z,2001-09-11T00:00:00Z,United States of America,Catholic priest,Catholic Church
Franc Gomilšek,male,homicide,1872-12-14T00:00:00Z,1943-10-29T00:00:00Z,Austria-Hungary,Catholic priest,Catholic Church
Emin Pasha,male,homicide,1840-03-28T00:00:00Z,1892-10-23T00:00:00Z,Ottoman Empire,explorer,Judaism
Mikhail Lermontov,male,homicide,1814-10-15T00:00:00Z,1841-07-27T00:00:00Z,Russian Empire,artist,Eastern Orthodox Church
Viktor Turk,male,homicide,1891-10-13T00:00:00Z,1943-10-24T00:00:00Z,Kingdom of Yugoslavia,Catholic priest,Catholic Church
Mikhail Lermontov,male,homicide,1814-10-15T00:00:00Z,1841-07-27T00:00:00Z,Russian Empire,novelist,Eastern Orthodox Church
Saint Engelbert,male,homicide,1185-01-01T00:00:00Z,1225-11-14T00:00:00Z,Germany,Catholic priest,Catholic Church
Filip Terčelj,male,homicide,1892-02-02T00:00:00Z,1946-01-07T00:00:00Z,Kingdom of Yugoslavia,opinion journalist,Catholic Church
Franc Kek,male,homicide,1895-08-20T00:00:00Z,1943-10-21T00:00:00Z,Kingdom of Yugoslavia,Catholic priest,Catholic Church
Mikhail Lermontov,male,homicide,1814-10-15T00:00:00Z,1841-07-27T00:00:00Z,Russian Empire,translator,Eastern Orthodox Church
Marie-Dominique-Auguste Sibour,male,homicide,1792-04-04T00:00:00Z,1857-01-03T00:00:00Z,France,Catholic priest,Catholic Church
Mohammad Ali Qazi Tabatabaei,male,homicide,1914-01-01T00:00:00Z,1979-11-02T00:00:00Z,Iran,religious servant,Shia Islam
Paulos Faraj Rahho,male,homicide,1942-11-20T00:00:00Z,2008-03-13T00:00:00Z,Iraq,Catholic priest,Catholic Church
Luigi Padovese,male,homicide,1947-03-31T00:00:00Z,2010-06-03T00:00:00Z,Italy,Catholic priest,Catholic Church
Rutilio Grande,male,homicide,1928-07-05T00:00:00Z,1977-03-12T00:00:00Z,El Salvador,Catholic priest,Catholic Church
Bernardo Ulloa Martínez,male,homicide,1944-09-09T00:00:00Z,1973-09-01T00:00:00Z,Chile,religious servant,Catholic Church
Bruce Lee,male,homicide,1940-11-27T00:00:00Z,1973-07-20T00:00:00Z,Hong Kong,actor,Taoism
Bruce Lee,male,homicide,1940-11-27T00:00:00Z,1973-07-20T00:00:00Z,Hong Kong,philosopher,Taoism
Bruce Lee,male,homicide,1940-11-27T00:00:00Z,1973-07-20T00:00:00Z,Hong Kong,writer,Taoism
Bruce Lee,male,homicide,1940-11-27T00:00:00Z,1973-07-20T00:00:00Z,Hong Kong,television actor,Taoism
Bruce Lee,male,homicide,1940-11-27T00:00:00Z,1973-07-20T00:00:00Z,Hong Kong,screenwriter,Taoism
Bruce Lee,male,homicide,1940-11-27T00:00:00Z,1973-07-20T00:00:00Z,Hong Kong,film producer,Taoism
Francisco Garcés,male,homicide,1738-04-12T00:00:00Z,1781-07-18T00:00:00Z,Spain,explorer,Catholic Church
Bruce Lee,male,homicide,1940-11-27T00:00:00Z,1973-07-20T00:00:00Z,Hong Kong,stunt performer,Taoism
Bruce Lee,male,homicide,1940-11-27T00:00:00Z,1973-07-20T00:00:00Z,Hong Kong,film actor,Taoism
Francisco Pizarro,male,homicide,1478-03-16T00:00:00Z,1541-07-06T00:00:00Z,Spain,explorer,Catholic Church
Carlos de Dios Murias,male,homicide,1945-10-10T00:00:00Z,1976-07-18T00:00:00Z,Argentina,Catholic priest,Catholic Church
Bruce Lee,male,homicide,1940-11-27T00:00:00Z,1973-07-20T00:00:00Z,United States of America,philosopher,Taoism
Salvio Huix Miralpeix,male,homicide,1877-12-22T00:00:00Z,1936-08-05T00:00:00Z,Spain,Catholic priest,Catholic Church
Pedro María Ramírez Ramos,male,homicide,1899-10-23T00:00:00Z,1948-04-10T00:00:00Z,Colombia,Catholic priest,Catholic Church
Bruce Lee,male,homicide,1940-11-27T00:00:00Z,1973-07-20T00:00:00Z,United States of America,television actor,Taoism
John Geoghan,male,homicide,1935-06-04T00:00:00Z,2003-08-23T00:00:00Z,United States of America,Catholic priest,Catholic Church
Diego Luis de San Vitores,male,homicide,1627-11-12T00:00:00Z,1672-04-02T00:00:00Z,Spain,Catholic priest,Catholic Church
David Beaton,male,homicide,1494-01-01T00:00:00Z,1546-05-29T00:00:00Z,Scotland,Catholic priest,Catholic Church
Chandra Fernando,male,homicide,1942-01-01T00:00:00Z,1988-06-06T00:00:00Z,Sri Lanka,Catholic priest,Catholic Church
Anton Korczok,male,homicide,1891-06-01T00:00:00Z,1941-02-05T00:00:00Z,Germany,author,Catholic Church
Bruce Lee,male,homicide,1940-11-27T00:00:00Z,1973-07-20T00:00:00Z,United States of America,film actor,Taoism
Gustav Ritter von Kahr,male,homicide,1862-11-29T00:00:00Z,1934-06-30T00:00:00Z,Germany,judge,Protestantism
Simon Sudbury,male,homicide,1317-01-01T00:00:00Z,1381-06-14T00:00:00Z,United Kingdom of Great Britain and Ireland,judge,Catholic Church
Filip Terčelj,male,homicide,1892-02-02T00:00:00Z,1946-01-07T00:00:00Z,Austria-Hungary,Catholic priest,Catholic Church
Michal Tomaszek,male,homicide,1960-09-23T00:00:00Z,1991-08-09T00:00:00Z,Poland,Catholic priest,Catholic Church
François Marty,male,accident,1904-05-16T00:00:00Z,1994-02-16T00:00:00Z,France,Catholic priest,Catholic Church
Anton Korczok,male,homicide,1891-06-01T00:00:00Z,1941-02-05T00:00:00Z,Germany,Catholic priest,Catholic Church
Peter Kasui Kibe,male,homicide,1587-01-01T00:00:00Z,1639-07-04T00:00:00Z,Japan,Catholic priest,Catholic Church
António de Andrade,male,homicide,1580-01-01T00:00:00Z,1634-03-19T00:00:00Z,Portugal,explorer,Catholic Church
Bernard Mary of Jesus,male,accident,1831-11-07T00:00:00Z,1911-12-09T00:00:00Z,Kingdom of Italy,presbyter,Catholic Church
Ángel Darío Acosta Zurita,male,homicide,1908-12-13T00:00:00Z,1931-07-25T00:00:00Z,Mexico,presbyter,Catholic Church
Franc Gomilšek,male,homicide,1872-12-14T00:00:00Z,1943-10-29T00:00:00Z,Kingdom of Yugoslavia,Catholic priest,Catholic Church
Jacques Berthieu,male,homicide,1838-11-27T00:00:00Z,1896-06-08T00:00:00Z,France,Catholic priest,Catholic Church
Viktor Dorkin,male,homicide,1953-10-03T00:00:00Z,2006-03-31T00:00:00Z,Russia,chemist,Russian Orthodox Church
Fidel Fuidio,male,homicide,1880-04-24T00:00:00Z,1936-10-17T00:00:00Z,Spain,archaeologist,Catholic Church
Boutros Ghali,male,homicide,1846-01-01T00:00:00Z,1910-02-21T00:00:00Z,Egypt,diplomat,Christianity
Catherine Schneider,female,homicide,1856-01-20T00:00:00Z,1918-09-04T00:00:00Z,Russian Empire,tutor,Lutheranism
Pier Paolo Pasolini,male,homicide,1922-03-05T00:00:00Z,1975-11-02T00:00:00Z,Italy,film critic,atheism
Pedro de Alvarado,male,accident,1486-01-01T00:00:00Z,1541-07-04T00:00:00Z,Spain,conquistador,Catholicism
Isadora Duncan,female,accident,1877-05-27T00:00:00Z,1927-09-14T00:00:00Z,United States of America,choreographer,atheism
Studs Terkel,male,accident,1912-05-16T00:00:00Z,2008-10-31T00:00:00Z,United States of America,music journalist,atheism
Wäliulla Yaqupof,male,homicide,1963-09-04T00:00:00Z,2012-07-19T00:00:00Z,Russia,mufti,Sunni Islam
Abr Ahasani Gunnauri,male,homicide,1897-01-01T00:00:00Z,1973-11-08T00:00:00Z,India,poet,Islam
Veronika Lestan,female,homicide,1908-02-03T00:00:00Z,1943-11-17T00:00:00Z,Kingdom of Yugoslavia,poet,Catholic Church
Amalia Abad Casasempere,female,homicide,1897-12-11T00:00:00Z,1936-09-21T00:00:00Z,Spain,housewife,Catholic Church
George Mouzalon,male,homicide,1220-01-01T00:00:00Z,1258-01-01T00:00:00Z,Byzantine Empire,civil servant,Eastern Orthodox Church
Sarfraz Ahmed Naeemi,male,homicide,1948-02-16T00:00:00Z,2009-06-12T00:00:00Z,Pakistan,mufti,Islam
Saida Menebhi,female,suicide,1952-09-01T00:00:00Z,1977-11-11T00:00:00Z,Morocco,poet,Islam
Hamza Hakimzade Niyazi,male,homicide,1889-03-06T00:00:00Z,1929-03-18T00:00:00Z,Soviet Union,poet,atheism
Alī ibn Abī Ṭālib,male,homicide,0599-03-17T00:00:00Z,0661-02-28T00:00:00Z,Rashidun Caliphate,mufassir,Islam
Ustad Sibte Jaffar Zaidi,male,homicide,1957-03-07T00:00:00Z,2013-03-18T00:00:00Z,Pakistan,head teacher,Islam
Francisco Pizarro,male,homicide,1478-03-16T00:00:00Z,1541-07-06T00:00:00Z,Crown of Castile,conquistador,Catholic Church
Salih Mahdi Ammash,male,homicide,1924-01-01T00:00:00Z,1985-01-01T00:00:00Z,Iraq,poet,Sunni Islam
Travis Alexander,male,homicide,1977-07-28T00:00:00Z,2008-06-04T00:00:00Z,United States of America,motivational speaker,Mormonism
Filip Terčelj,male,homicide,1892-02-02T00:00:00Z,1946-01-07T00:00:00Z,Kingdom of Yugoslavia,poet,Catholic Church
Ustad Sibte Jaffar Zaidi,male,homicide,1957-03-07T00:00:00Z,2013-03-18T00:00:00Z,Pakistan,head teacher,Shia Islam
Isidore Bakanja,male,homicide,1887-01-01T00:00:00Z,1909-08-15T00:00:00Z,Democratic Republic of the Congo,bricklayer,Catholic Church
Alī ibn Abī Ṭālib,male,homicide,0601-09-18T00:00:00Z,0661-02-28T00:00:00Z,Rashidun Caliphate,mufassir,Islam
Taliep Petersen,male,homicide,1950-04-15T00:00:00Z,2006-12-16T00:00:00Z,South Africa,theatre director,Islam
Washiqur Rahman Babu,male,homicide,1988-06-01T00:00:00Z,2015-03-30T00:00:00Z,Bangladesh,blogger,atheism
Mahdi Amel,male,homicide,1936-01-01T00:00:00Z,1987-01-01T00:00:00Z,Lebanon,poet,Islam
Kalpana Chawla,female,accident,1962-03-17T00:00:00Z,2003-02-01T00:00:00Z,United States of America,aerospace engineer,Hinduism
George Tiller,male,homicide,1941-08-08T00:00:00Z,2009-05-31T00:00:00Z,United States of America,gynaecologist,Lutheranism
Abu'l-Fazl ibn Mubarak,male,homicide,1551-01-14T00:00:00Z,1602-08-12T00:00:00Z,Mughal Empire,poet,Islam
Charles de Foucauld,male,homicide,1858-09-15T00:00:00Z,1916-12-01T00:00:00Z,France,philologist,Catholicism
Wäliulla Yaqupof,male,homicide,1963-09-04T00:00:00Z,2012-07-19T00:00:00Z,Soviet Union,mufti,Sunni Islam
Reinhard Heydrich,male,homicide,1904-03-07T00:00:00Z,1942-06-04T00:00:00Z,Germany,military personnel,Lapsed Catholic
Grigoris Lambrakis,male,homicide,1912-04-03T00:00:00Z,1963-05-27T00:00:00Z,Greece,athletics competitor,Greek Orthodox Church
Narte Velikonja,male,homicide,1891-06-08T00:00:00Z,1945-06-25T00:00:00Z,Kingdom of Yugoslavia,clerk,Catholic Church
Grigoris Lambrakis,male,homicide,1912-04-03T00:00:00Z,1963-05-27T00:00:00Z,Greece,gynaecologist,Greek Orthodox Church
Avijit Roy,male,homicide,1972-09-12T00:00:00Z,2015-02-26T00:00:00Z,Bangladesh,mechanical engineer,atheism
Stefanos Sarafis,male,homicide,1890-10-23T00:00:00Z,1957-05-31T00:00:00Z,Greece,military personnel,Greek Orthodox Church
Khalil al-Wazir,male,homicide,1935-10-10T00:00:00Z,1988-04-16T00:00:00Z,State of Palestine,military,Islam
François Boursier,male,homicide,1878-09-18T00:00:00Z,1944-08-20T00:00:00Z,France,canon,Catholicism
Lojze Grozde,male,homicide,1923-05-27T00:00:00Z,1943-01-01T00:00:00Z,Kingdom of Yugoslavia,poet,Catholic Church
Alī ibn Abī Ṭālib,male,homicide,0599-03-17T00:00:00Z,0661-02-28T00:00:00Z,Rashidun Caliphate,faqih,Islam
Mary Jo Kopechne,female,accident,1940-07-26T00:00:00Z,1969-07-18T00:00:00Z,United States of America,secretary,Catholic Church
Dmitry Borovikov,male,homicide,1984-06-09T00:00:00Z,2006-05-18T00:00:00Z,Russia,student,atheist
Anthim the Iberian,male,homicide,1650-01-01T00:00:00Z,1716-01-01T00:00:00Z,Georgia,literary,Orthodox Christianity
Avijit Roy,male,homicide,1972-09-12T00:00:00Z,2015-02-26T00:00:00Z,Bangladesh,biomedical engineer,atheism
Avijit Roy,male,homicide,1972-09-12T00:00:00Z,2015-02-26T00:00:00Z,Bangladesh,blogger,atheism
James Foley,male,homicide,1973-10-18T00:00:00Z,2014-08-19T00:00:00Z,United States of America,photojournalist,Catholic Church
Alī ibn Abī Ṭālib,male,homicide,0601-09-18T00:00:00Z,0661-02-28T00:00:00Z,Rashidun Caliphate,faqih,Islam
"Margaret, Maid of Norway",female,accident,1283-04-16T00:00:00Z,1290-10-03T00:00:00Z,Norway,lady-in-waiting,Christianity
Frans van der Lugt,male,homicide,1938-04-10T00:00:00Z,2014-04-07T00:00:00Z,Kingdom of the Netherlands,psychotherapist,Catholic Church
Alī ibn Abī Ṭālib,male,homicide,0599-03-17T00:00:00Z,0661-02-28T00:00:00Z,Rashidun Caliphate,muhaddith,Islam
Mikhail Lermontov,male,homicide,1814-10-15T00:00:00Z,1841-07-27T00:00:00Z,Russian Empire,poet,Eastern Orthodox Church
Isadora Duncan,female,accident,1877-05-26T00:00:00Z,1927-09-14T00:00:00Z,United States of America,dancer,atheism
Anton Korczok,male,homicide,1891-06-01T00:00:00Z,1941-02-05T00:00:00Z,Germany,Parochus,Catholic Church
Alī ibn Abī Ṭālib,male,homicide,0601-09-18T00:00:00Z,0661-02-28T00:00:00Z,Rashidun Caliphate,muhaddith,Islam
Antonia Ulloa Martínez,female,homicide,1947-10-23T00:00:00Z,1973-09-01T00:00:00Z,Chile,Layperson,Catholic Church
Kalpana Chawla,female,accident,1962-03-17T00:00:00Z,2003-02-01T00:00:00Z,India,astronaut,Hinduism
"B. F. O'Neal, Jr.",male,accident,1922-06-23T00:00:00Z,2004-04-29T00:00:00Z,United States of America,real estate broker,Episcopal Church
Avdo Palić,male,homicide,1958-04-04T00:00:00Z,1995-01-01T00:00:00Z,Bosnia and Herzegovina,school teacher,Islam
Isadora Duncan,female,accident,1877-05-26T00:00:00Z,1927-09-14T00:00:00Z,United States of America,choreographer,atheism
Hamza Hakimzade Niyazi,male,homicide,1889-03-06T00:00:00Z,1929-03-18T00:00:00Z,Russian Empire,poet,atheism
Veronika Lestan,female,homicide,1908-02-03T00:00:00Z,1943-11-17T00:00:00Z,Austria-Hungary,poet,Catholic Church
Marwa El-Sherbini,female,homicide,1977-10-07T00:00:00Z,2009-07-01T00:00:00Z,Egypt,handball player,Islam
